rank,player,season,games_played,tgt,incompletion_rate,int_rate,target_rate,yds_per_tgt,avg_rat,pca_score
26,Ja'Quan McMillian,2023,14,66,0.4090909090909091,0.030303030303030304,0.09865470852017937,6.0606060606060606,90.09285714285714,0.4235208883322068
27,Taron Johnson,2023,16,74,0.3108108108108108,0.0,0.0708133971291866,5.202702702702703,86.4125,0.36371192998884183
28,AJ Terrell,2023,16,81,0.4444444444444444,0.0,0.07605633802816901,6.814814814814815,86.8875,0.2524429987498035
29,Asante Samuel Jr.,2023,16,93,0.3870967741935484,0.021505376344086023,0.08370837083708371,7.989247311827957,78.46875,0.10949234636899109
30,Patrick Surtain II,2023,17,91,0.3956043956043956,0.01098901098901099,0.08117752007136485,7.252747252747253,84.10588235294118,-0.0006364286628727715
31,Amik Robertson,2023,14,66,0.3787878787878788,0.030303030303030304,0.09777777777777778,8.045454545454545,80.58571428571429,-0.0817457459146581
32,Alontae Taylor,2023,17,101,0.36633663366336633,0.019801980198019802,0.10631578947368421,6.782178217821782,84.76470588235294,-0.0942131808770863
33,Derion Kendrick,2023,16,77,0.4155844155844156,0.012987012987012988,0.08830275229357798,7.792207792207792,84.4875,-0.12461533507353177
34,Steven Nelson,2023,17,70,0.32857142857142857,0.05714285714285714,0.0586756077116513,9.385714285714286,79.67058823529412,-0.17015001923033723
35,Trent McDuffie,2023,16,76,0.34210526315789475,0.0,0.061142397425583264,6.894736842105263,86.07333333333332,-0.31585199039228196
36,Benjamin St-Juste,2023,15,94,0.35106382978723405,0.010638297872340425,0.08834586466165413,7.170212765957447,86.77142857142857,-0.4760225309388111
37,Roger McCreary,2023,15,81,0.2716049382716049,0.012345679012345678,0.0867237687366167,6.888888888888889,81.12666666666668,-0.5139609893973738
38,Zyon McCollum,2023,15,92,0.40217391304347827,0.0,0.10562571756601608,6.782608695652174,92.14666666666668,-0.5319800833269179
39,Christian Benford,2023,14,54,0.25925925925925924,0.037037037037037035,0.06451612903225806,7.962962962962963,81.39285714285714,-0.5884777568228552
